Gene Group	R1 LPS 0h	R1 LPS 01h	R1 LPS 02h	R1 LPS 04h	R1 LPS 06h	R1 LPS 09h	R1 LPS 12h	R2 LPS 0h	R2 LPS 01h	R2 LPS 02h	R2 LPS 04h	R2 LPS 06h	R2 LPS 09h	R2 LPS 12h
Zmiz1	34.20198568	30.06013222	24.51291612	16.21617435	12.62092513	28.84968734	38.23650994	31.2196136	40.50171957	30.3260351	15.65085701	26.77931719	32.77576754	35.33600457
Ankle2	24.50968518	16.05293284	12.55263189	19.24812998	25.57977726	24.91037507	25.41816387	17.04894767	14.69219549	7.188522978	21.45650077	24.3018621	21.42368091	23.36658124
Exoc1	33.24411906	20.10226704	19.78216421	23.17906897	28.97708808	34.31801911	38.62443779	26.33961001	22.84547257	22.2963553	15.84360287	21.97683407	20.51497607	25.94981289
Tnpo3	95.84097845	125.2140811	82.76564293	101.201956	81.67629512	53.41975563	53.81387746	253.9858628	287.9555119	151.1378525	190.97055	158.9683446	202.0552022	138.4650329
Bckdhb	19.04886218	24.22535748	17.82192684	47.96570719	115.3771793	107.1273862	82.93162077	20.49907256	33.59129815	26.88546653	40.51840383	86.27732064	67.11316677	65.58296424
Nudt16	23.6757922	13.00252592	9.168850516	11.62804694	25.73787303	21.62651846	21.84821192	27.31984783	6.145259118	14.1300957	23.43545127	28.43551602	20.04591136	27.11283339
Snrnp200	75.41436881	62.34703176	45.67221017	34.35942498	43.18214125	42.85117479	36.78010652	31.5832069	43.20956713	48.61159224	28.22418365	43.54390209	31.1899291	34.4156239
Abcf1	118.7042775	156.9115801	126.1855479	101.8474521	74.0672361	69.67221193	78.60078858	198.8850879	279.9673814	160.464906	154.6496586	121.5059734	146.7369379	114.9088368
Inppl1	56.03206216	33.29278268	16.49986592	20.19830574	43.1210534	45.02353283	55.12988551	47.47400568	23.01096679	23.94488977	22.08338051	52.53921816	39.25955149	54.25902587
Fxr2	48.02730253	50.00273825	36.28104851	34.82426131	35.98890501	44.54063319	55.09960753	54.6468948	61.06417109	47.25862607	45.17137855	53.64210413	61.50961543	57.081359
Smchd1;mKIAA0650;AK162806	57.08665831	68.04892164	52.81332443	49.03882795	53.38258339	43.01549567	43.21677539	61.15200696	87.38019296	56.0013838	58.03613024	45.14533633	53.27497349	59.95125772
Ugcgl1;Uggt1	37.40036786	33.96574396	29.44859721	18.60401151	11.98039176	12.95516943	12.34198212	40.03345018	23.9398924	23.54798814	18.92838472	10.30618037	15.7157199	9.563271346
Gga2;mKIAA1080	37.52470641	38.82217673	29.80943294	18.35327843	11.44380504	14.62884095	19.44780602	44.05295461	22.54387589	24.16809541	19.37400447	15.7998387	19.08957945	20.22633908
Xpo1	79.08670442	47.16064972	39.6194989	28.3313561	46.06179738	85.04601167	101.9279059	69.0953396	53.8015226	45.18536801	37.82685459	58.87247426	74.07186834	90.11532737
Shkbp1	36.70956752	25.13749012	25.13708413	22.56347712	21.15245485	27.88743025	32.19782586	35.44709721	25.14657046	18.50902571	14.27063796	22.26306925	16.69282876	31.10791513
Pcnp	129.7340942	114.5363188	100.391189	74.67783514	91.51482404	101.9000395	96.62467865	154.555063	153.5097967	162.5335576	98.90106403	124.1843963	142.1456324	139.3999323
