ENSG	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30
ENSG00000188916	3.9985681122	4.1456677647	4.2927720465	4.5873613119	3.852378332	4.0343990321	4.294021933	4.4970528233	4.0612129179	4.0385365655	4.0162557009	3.9736565755	4.2091267325	4.2139440258	4.2146211449	4.2144458143
ENSG00000205329	3.8435285239	3.8635646583	3.8845018019	3.9278021899	5.0150793571	4.0634208137	3.6691954408	3.4269914922	4.1571369771	4.117224309	4.0769873719	3.9952258086	3.833916066	4.0452821826	4.1070219536	4.1429076237
ENSG00000152910	4.4347813019	4.3038328678	4.172055507	3.9046436734	4.3124463217	4.2921227154	4.1851806073	4.1040729183	4.193345349	4.2027543818	4.2137879843	4.247200445	4.466743497	4.3976320077	4.1678176945	3.9763434948
ENSG00000139445	4.3214464085	4.2223708984	4.1227715727	3.9246632448	4.1009478315	4.442353418	4.42562016	4.3965874485	4.503888053	4.4838580659	4.4638364935	4.4252189669	4.608463157	4.3511367744	4.2950603448	4.2713727716
ENSG00000167759	4.3687492541	4.3920418663	4.4158881758	4.4677810298	4.5497938584	4.4925667545	4.3618851516	4.2553511869	4.304241727	4.344759258	4.3856684456	4.4746117068	4.379948545	4.5090526022	4.2646014068	4.1388605104
ENSG00000204866	4.5143983483	4.5650544197	4.6170947216	4.7306114582	4.2868301047	4.2292079413	4.4404531431	4.6279242162	4.5963683155	4.5656998583	4.5346487303	4.4710729714	4.3121233955	4.3993666899	4.4037512722	4.4021731229
ENSG00000187987	3.8284729867	3.893510935	3.9595158175	4.0987591985	4.1049978015	3.8976088045	3.8442431218	3.8180388951	3.8431503342	3.8932774304	3.9433214266	4.0424037068	3.9084880682	3.8172942695	3.6269941582	3.4737050423
ENSG00000168309	3.9981977991	4.1660402808	4.3338351942	4.669576987	4.4166619246	4.4921703822	4.5458653852	4.580590496	4.8809142982	4.7804583924	4.6802118243	4.4806071419	4.7690398435	4.6978123435	4.5555826611	4.4408843149
ENSG00000205846	4.7033287156	4.6240516624	4.5443114321	4.3856913952	4.0388452985	4.8883813683	4.6586210592	4.6379785544	4.7751332688	4.7195343822	4.6653330699	4.5675229302	5.1024356871	4.6507221725	4.4939884751	4.4078920069
ENSG00000139780	3.7755827707	3.7736304092	3.7716163562	3.7669028446	4.1028417244	3.9249774289	3.8153160309	3.7440202331	3.9704994463	3.9570080051	3.9435190409	3.9166004399	2.8808210123	3.3694324286	3.8531281647	4.2150030485
ENSG00000234162	3.8176385439	3.8468327783	3.8755629153	3.9292472607	4.4734308263	3.9134167942	3.9098166279	3.9725350829	4.0049535478	4.0337471137	4.0627670931	4.1202092775	3.6180022238	3.7485451957	3.9903120246	4.1811886253
